x;y;index;emptycolumn;Produkt;Firma;Typ;nodesize;Info;Lerninhalte;Lernart;Format;Mobile;webadresse;gesamtzeit;Nuggets;Zeit fuer kleinste UE;Content_oder_Software;Lernweg;Awards;emptycolumn2
;;41;;Ecademy;Cornelsen;Software;5;Begleitung Ausbildung + Pruefung, techn. + kaufm. Berufe;Anwenden;formell;Software;nein;https://www.ecademy-learning.com/lerkagebot/;ka;ka;ka;Content;E-Learning by distribution;kein;
;;42;;Miele Online Seminare;Miele;Web;5;Geräte + Produktschulung Miele;Wissen;formell;html;nein;https://mea-elektro.miele.de/online-seminare;ka;nein;25 min;Content;E-Learning by distribution;kein;
;;43;;SAP Lerning Hub;SAP;Web;5;SAP Schulung + Komplettsystem;Anwenden;formell;html;nein;https://www.sap.com/germany/training-certification/learning-hub.html;0-40h;ka;ka;Content;Mischform;kein;
;;44;;NDT ;GE;Web;5;ZfP Schulung;Verstehen;formell;html;nein;https://www.geinspectionacademy.com/course_details.php?cid=459;ka;ja;ka;Content;E-Learning by distribution;kein;
;;45;;Tassomai;Tassomai;Web;5;Filter Content into Multiple Choice Quizz;Wissen;informell;html + App;ja;https://www.tassomai.com/;ka;ja;ka;Dienstleister;E-Learning by interaction;BETT 2019;
;;46;;Learning by Question;LBQ;Software;5;Classroom App Quiz;Verstehen;informell;Software;nein;https://www.lbq.org/Browse;ka;ja;ka;Dienstleister;E-Learning by interaction;BETT 2019;
;;47;;Wonderkind;Wonderkind;Mobile;5;Karteikarten-SprachApp fuer Kids;Wissen;Mischform;App;ja;https://www.wonderkind.de/de/App/easy-peasy-englisch/;ka;ja;ka;Dienstleister;E-Learning by interaction;BETT 2019;
;;48;;thisislanguage;thisislanguage;Web;5;SprachlernApp - Aufbereitung von Inhalten;Anwenden;Mischform;html;nein;https://www.thisislanguage.com;ka;ja;ka;Dienstleister;Mischform;BETT 2019;
;;49;;DocsPlus;Cricksoft;Software;5;Spracherwerb + Schreiben fuer Benachteiligte;Anwenden;formell;Software + App;ja;https://www.cricksoft.com/uk/docsplus;ka;ja;ka;Dienstleister;Mischform;BETT 2019;
;;50;;Imoves;Imoves;Web;5;Sportunterricht Planung und Schulung;ka;ka;html;nein;https://imoves.com/;ka;ja;2-10min;beides;E-Learning by distribution;BETT 2019;
;;51;;Explorify;Explorify;Web;5;Free content for school activity /Science;Analyse / Synthese / Bewertung;ka;html;nein;https://explorify.wellcome.ac.uk/en/activities/whats-going-on/top-of-the-pops;ka;ja;15 min;beides;E-Learning by collaboration;BETT 2019;
